1.230000000000000000e+02,4.520000000000000000e+02
1.220000000000000000e+02,4.530000000000000000e+02
1.200000000000000000e+02,4.530000000000000000e+02
1.190000000000000000e+02,4.540000000000000000e+02
1.190000000000000000e+02,4.580000000000000000e+02
1.200000000000000000e+02,4.590000000000000000e+02
1.200000000000000000e+02,4.610000000000000000e+02
1.210000000000000000e+02,4.620000000000000000e+02
1.210000000000000000e+02,4.630000000000000000e+02
1.220000000000000000e+02,4.640000000000000000e+02
1.220000000000000000e+02,4.650000000000000000e+02
1.230000000000000000e+02,4.660000000000000000e+02
1.260000000000000000e+02,4.660000000000000000e+02
1.270000000000000000e+02,4.650000000000000000e+02
1.280000000000000000e+02,4.650000000000000000e+02
1.300000000000000000e+02,4.630000000000000000e+02
1.300000000000000000e+02,4.620000000000000000e+02
1.310000000000000000e+02,4.610000000000000000e+02
1.310000000000000000e+02,4.540000000000000000e+02
1.290000000000000000e+02,4.520000000000000000e+02
